taz,parkingType,chargingPointType,housingType,propertyType,county,locationX,locationY,parkingZoneId,reservedFor,pricingModel,feeInCents,numStalls,timeRestrictions
,Public,NoCharger,non-res,,,-122.3302196,47.5994956,521415,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.353065,47.6173496,521425,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3433583,47.612781,521432,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3526047,47.6180231,521455,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.316911,47.6119664,521459,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3354982,47.60375,521514,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.334231,47.6060172,521536,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3194699,47.6206592,521550,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3447783,47.6134277,521553,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3469255,47.6135131,521554,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.359295,47.6211161,521589,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.316904,47.6121722,521591,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3167171,47.6142887,521605,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3355781,47.6057959,521614,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.336858,47.6071949,521617,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3409899,47.6100238,521639,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3605447,47.6249198,521643,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3347312,47.6048701,521682,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3605677,47.6223896,521702,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3515835,47.6252054,521748,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3194668,47.6204608,521755,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3450827,47.6124382,521756,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3156262,47.6135342,521762,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3368451,47.6052228,521777,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3195166,47.6127132,521802,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3337452,47.6034792,521823,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3554972,47.62408,521835,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3548556,47.6184018,521855,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3380785,47.6065284,521878,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3314383,47.6006915,521896,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3620224,47.6224995,521910,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3314382,47.6007463,521938,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3406123,47.6111643,521939,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3334171,47.6034278,521943,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3420128,47.6129694,521956,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3314472,47.599351,521957,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3472506,47.6160662,521962,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3473708,47.6149609,521966,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.349773,47.6154049,521967,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3194661,47.6204143,521991,Any,Block,0.0,1.0,
