"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(30, 35]","(-20, -19]","(11791.383, 12244.898]",-7.61336836710941
"(30, 35]","(-20, -19]","(12244.898, 12698.413]",-7.61336836710941
"(30, 35]","(-20, -19]","(12698.413, 13151.927]",-7.82771353810372
"(30, 35]","(-20, -19]","(13151.927, 13605.442]",-8.10632351983032
"(30, 35]","(-20, -19]","(13605.442, 14058.957]",-8.10632351983032
"(30, 35]","(-20, -19]","(14058.957, 14512.472]",-8.10632351983032
"(30, 35]","(-20, -19]","(14512.472, 14965.986]",-8.10632351983032
"(30, 35]","(-20, -19]","(14965.986, 15419.501]",-8.3036445487042
"(30, 35]","(-20, -19]","(15419.501, 15873.016]",-8.41466064368527
"(30, 35]","(-20, -19]","(15873.016, 16326.531]",-8.41466064368527
"(30, 35]","(-20, -19]","(16326.531, 16780.045]",-8.7170356134232
"(30, 35]","(-20, -19]","(16780.045, 17233.56]",-8.75966128810735
"(30, 35]","(-20, -19]","(17233.56, 17687.075]",-8.80822906341679
"(30, 35]","(-20, -19]","(17687.075, 18140.59]",-8.80822906341679
"(30, 35]","(-20, -19]","(18140.59, 18594.104]",-8.80822906341679
"(30, 35]","(-20, -19]","(18594.104, 19047.619]",-8.80822906341679
"(30, 35]","(-20, -19]","(19047.619, 19501.134]",-8.80822906341679
"(30, 35]","(-20, -19]","(19501.134, 19954.649]",-8.80822906341679
"(30, 35]","(-20, -19]","(19954.649, 20408.163]",-8.80822906341679
"(30, 35]","(-20, -19]","(20408.163, 20861.678]",-8.86341866003302
"(30, 35]","(-20, -19]","(20861.678, 21315.193]",-8.86341866003302
"(30, 35]","(-20, -19]","(21315.193, 21768.707]",-8.86341866003302
"(30, 35]","(-20, -19]","(21768.707, 22222.222]",-8.86341866003302
"(30, 35]","(-20, -19]","(22222.222, 22675.737]",-8.86341866003302
"(30, 35]","(-20, -19]","(22675.737, 23129.252]",-8.91197660137303
"(30, 35]","(-20, -19]","(23129.252, 23582.766]",-8.94494353231572
"(30, 35]","(-20, -19]","(23582.766, 24036.281]",-8.94494353231572
"(30, 35]","(-20, -19]","(24036.281, 24489.796]",-8.94494353231572
"(30, 35]","(-20, -19]","(24489.796, 24943.311]",-8.94494353231572
"(30, 35]","(-20, -19]","(24943.311, 25396.825]",-8.94494353231572
"(30, 35]","(-20, -19]","(25396.825, 25850.34]",-8.94494353231572
